Room,Volume,Temperature
LE-001,311,"15,0"
LE-002,314,"14,3"
LE-003,303,"14,8"
LE-006,232,"14,3"
LE-007,287,"15,1"
LE-008,232,"15,0"
LE-015,3800,"12,1"
LO-101,303,"15,7"
LO-102,309,"16,2"
LO-103,308,"15,9"
LO-106,228,"16,1"
LO-107,276,"16,7"
LO-108,232,"15,3"
LO-119,200,"16,4"
LO-201,231,"16,4"
LO-202,231,"16,9"
LO-203,224,"17,0"
LO-301,150,"17,2"
LO-302,153,"17,4"
LO-304,151,"17,8"
LO-305,301,"17,1"
LO-308,229,"16,7"
LO-309,274,"17,2"
