Room,R² Score (LR),MAE (LR),R² Score (RF),MAE (RF)
LE-001,0.05150643082302053,3.7134296337722406,0.23278982942232407,3.1826569916533387
LE-007,0.018628388824504682,3.973877906079065,0.2476765250752504,3.2028053620323407
LE-008,-0.006833931450354713,3.842603070520348,0.2889891762236222,2.862673870229278
LE-015,0.06578372682189537,3.5905771766469994,0.15283081057992776,3.1325443145214185
LO-103,0.05046257426176459,3.726815811300056,0.31607789325082825,2.8740819174441694
LO-106,0.034533298635912035,3.8363452788958696,0.26923924367136987,2.875669319870811
LO-107,0.16365079118215098,3.1762063900302335,0.5006340607031952,2.3040738001740255
LO-108,0.020235433702774586,3.80079918250778,0.35836591197334977,2.7337036254111955
LO-119,0.22170339564076957,2.9231728315528964,0.3609426186278707,2.5541967508542913
LO-201,0.1699445031389788,2.8462735404448325,0.21045162579483168,2.5431562074764753
LO-202,0.24442114565973128,2.8798460481036208,0.3758850350651489,2.513513879587079
LO-203,0.17587940797439505,2.9175830296874907,0.2938596212406679,2.4518882686033305
LO-301,0.22255948231534128,2.9281070020018145,0.26770320870653586,2.5451459682545936
LO-302,0.4102079614481462,2.5640295065363463,0.5601730625167884,2.0985198195789154
LO-304,0.45569086497422817,2.2662583032770485,0.5962224535926023,1.73429503940461
LO-308,0.30122881442691096,2.749024928670139,0.49047401120417455,2.1702086641101785
LO-309,0.28975532789945946,2.8399246049452462,0.4318526000753369,2.4199360765895768
LE-006,0.004761500427883147,4.035142819614078,0.43806467804613136,2.706715889555775
LE-002,-0.004481619837700013,3.910222084449771,0.27064105847372155,3.033346100006004
LE-003,0.011941632717059059,3.8918730312902627,0.38551286618561675,2.7342248858891933
LO-101,0.06165890397219065,3.2138890165003993,0.2951929599107147,2.609908959410868
LO-305,0.3606804103306156,2.571659231842623,0.49809063197922476,2.0596012694746864
LO-102,0.015238134352544508,4.310672832190052,0.11586217607583382,3.9233356667537995
